wave,flux
5312.26025390625,6.659368619221012e-17
5313.51025390625,6.63667839459675e-17
5314.76025390625,6.574722519293063e-17
5316.01025390625,6.463009090144459e-17
5317.26025390625,6.304847319067977e-17
5318.51025390625,6.390407795231516e-17
5319.76025390625,6.581728412907297e-17
5321.01025390625,6.586171252366972e-17
5322.26025390625,6.54734683897437e-17
5323.51025390625,6.449486895305355e-17
5324.76025390625,6.279415400063119e-17
5326.01025390625,6.278731706944907e-17
5327.26025390625,6.29097030416349e-17
5328.51025390625,5.973155999904725e-17
5329.76025390625,5.911592883226348e-17
5331.01025390625,6.316032142825242e-17
5332.26025390625,6.514616204982851e-17
5333.51025390625,6.463117170008217e-17
5334.76025390625,6.48319779856612e-17
5336.01025390625,6.523639385316429e-17
5337.26025390625,6.46212191176996e-17
5338.51025390625,6.418352464257217e-17
5339.76025390625,6.357156435710627e-17
5341.01025390625,6.21919768803294e-17
5342.26025390625,6.257769861733041e-17
5343.51025390625,6.474113045669183e-17
5344.76025390625,6.519381352122237e-17
5346.01025390625,6.44693771511171e-17
5347.26025390625,6.398260150444217e-17
5348.51025390625,6.394804306030274e-17
5349.76025390625,6.3114305948397e-17
5351.01025390625,6.380437748606613e-17
5352.26025390625,6.502632329429067e-17
5353.51025390625,6.493824182649937e-17
5354.76025390625,6.511091041378859e-17
5356.01025390625,6.578175333906964e-17
5357.26025390625,6.61298990463629e-17
5358.51025390625,6.607726377905868e-17
5359.76025390625,6.611519724403939e-17
5361.01025390625,6.583715379668445e-17
5362.26025390625,6.473656213527772e-17
5363.51025390625,6.357510737721513e-17
5364.76025390625,6.285593465293325e-17
5366.01025390625,6.25019857862519e-17
5367.26025390625,6.278282188229444e-17
5368.51025390625,6.293876356915729e-17
5369.76025390625,6.248387872091153e-17
5371.01025390625,6.092755337226681e-17
5372.26025390625,6.100583110902367e-17
5373.51025390625,6.311785666861184e-17
5374.76025390625,6.476074624782656e-17
5376.01025390625,6.536374405651557e-17
5377.26025390625,6.525434044814691e-17
5378.51025390625,6.511322153975323e-17
5379.76025390625,6.457534388100229e-17
5381.01025390625,6.38033843882491e-17
5382.26025390625,6.344817628441787e-17
5383.51025390625,6.30130989335223e-17
5384.76025390625,6.329686640297494e-17
5386.01025390625,6.460688110723728e-17
5387.26025390625,6.522226869536608e-17
5388.51025390625,6.493714784947837e-17
5389.76025390625,6.411541165607731e-17
5391.01025390625,6.335229732606469e-17
5392.26025390625,6.300254416861185e-17
5393.51025390625,6.252505601836414e-17
5394.76025390625,6.314398337015291e-17
5396.01025390625,6.353796222593726e-17
5397.26025390625,6.205726261045875e-17
5398.51025390625,6.132305771618354e-17
5399.76025390625,6.244855251405296e-17
5401.01025390625,6.302929702758789e-17
5402.26025390625,6.316086517333984e-17
5403.51025390625,6.289139848662585e-17
5404.76025390625,6.062382959505407e-17
5406.01025390625,5.941766579976895e-17
5407.26025390625,6.114693964516244e-17
5408.51025390625,6.284452959014147e-17
5409.76025390625,6.225897570726347e-17
5411.01025390625,6.089721154934022e-17
5412.26025390625,6.189518557664825e-17
5413.51025390625,6.329302200689547e-17
5414.76025390625,6.28437942988698e-17
5416.01025390625,6.186600167251214e-17
5417.26025390625,6.291915231099942e-17
5418.51025390625,6.369793993694026e-17
5419.76025390625,6.354057764937238e-17
5421.01025390625,6.324747835484946e-17
5422.26025390625,6.321752235970846e-17
5423.51025390625,6.263950833204316e-17
5424.76025390625,6.110154996918469e-17
5426.01025390625,6.14879235728194e-17
5427.26025390625,6.364063015077171e-17
5428.51025390625,6.361827277578958e-17
5429.76025390625,6.131005617467368e-17
5431.01025390625,6.065855965591058e-17
5432.26025390625,6.255775094753358e-17
5433.51025390625,6.259587283250762e-17
5434.76025390625,6.11552541593226e-17
5436.01025390625,6.128413681402438e-17
5437.26025390625,6.286254746599895e-17
5438.51025390625,6.401119699989877e-17
5439.76025390625,6.437004695613209e-17
5441.01025390625,6.437870899107398e-17
5442.26025390625,6.427355013219321e-17
5443.51025390625,6.411236102592654e-17
5444.76025390625,6.310734720741831e-17
5446.01025390625,6.111907316254406e-17
5447.26025390625,5.963999561216773e-17
5448.51025390625,6.100929004948313e-17
5449.76025390625,6.363714028707364e-17
5451.01025390625,6.408152816028129e-17
5452.26025390625,6.407969811788418e-17
5453.51025390625,6.383978162067692e-17
5454.76025390625,6.22180218878025e-17
5456.01025390625,5.983305918623761e-17
5457.26025390625,6.08018148208246e-17
5458.51025390625,6.33596459998154e-17
5459.76025390625,6.405237174429544e-17
5461.01025390625,6.385797263168706e-17
5462.26025390625,6.267335048024246e-17
5463.51025390625,6.074268379025343e-17
5464.76025390625,6.101907992107112e-17
5466.01025390625,6.235693529454672e-17
5467.26025390625,6.263885186544278e-17
5468.51025390625,6.304958628956864e-17
5469.76025390625,6.346319090680378e-17
5471.01025390625,6.341947326660155e-17
5472.26025390625,6.323895596760075e-17
5473.51025390625,6.253535858898628e-17
5474.76025390625,6.189161362438667e-17
5476.01025390625,6.08043348582198e-17
5477.26025390625,5.866233152436046e-17
5478.51025390625,5.933302147097703e-17
5479.76025390625,6.176373967984827e-17
5481.01025390625,6.196979067174399e-17
5482.26025390625,6.148309846831531e-17
5483.51025390625,6.199258690810785e-17
5484.76025390625,6.271699932563595e-17
5486.01025390625,6.308976483600896e-17
5487.26025390625,6.234500500562715e-17
5488.51025390625,6.147690354137886e-17
5489.76025390625,6.177901941811166e-17
5491.01025390625,6.244548771555831e-17
5492.26025390625,6.256398148699504e-17
5493.51025390625,6.235690706950863e-17
5494.76025390625,6.20694030650069e-17
5496.01025390625,6.233829763645079e-17
5497.26025390625,6.179817501161156e-17
5498.51025390625,6.10726462908489e-17
5499.76025390625,6.192834361006573e-17
5501.01025390625,6.190038652745689e-17
5502.26025390625,6.07846459663205e-17
5503.51025390625,6.065788130225205e-17
5504.76025390625,6.159128342791301e-17
5506.01025390625,6.16490784882336e-17
5507.26025390625,6.066791216222251e-17
5508.51025390625,6.097695000253073e-17
5509.76025390625,6.177388649172899e-17
5511.01025390625,6.168047746611804e-17
5512.26025390625,6.13243967568002e-17
5513.51025390625,6.08121734246975e-17
5514.76025390625,6.110373495334531e-17
5516.01025390625,6.19724217894019e-17
5517.26025390625,6.231678754108707e-17
5518.51025390625,6.235372037934094e-17
5519.76025390625,6.252870225859851e-17
5521.01025390625,6.257104853188119e-17
5522.26025390625,6.222787010006788e-17
5523.51025390625,6.223260675942026e-17
5524.76025390625,6.20251597409132e-17
5526.01025390625,6.12755413334544e-17
5527.26025390625,5.978935843863137e-17
5528.51025390625,5.80500634840058e-17
